Date: 2019-08-01 17:36:32s, Time_Cost: 573s, Epoch: [1/100], Train_PSNR: 29.79, Val_PSNR: 30.13, Val_SSIM: 0.9707
Date: 2024-11-27 08:49:58s, Time_Cost: 1132s, Epoch: [1/100], Train_PSNR: 25.80, Val_PSNR: 23.26, Val_SSIM: 0.9195
Date: 2024-11-27 09:08:56s, Time_Cost: 1138s, Epoch: [2/100], Train_PSNR: 26.90, Val_PSNR: 22.05, Val_SSIM: 0.8999
Date: 2024-11-27 09:27:50s, Time_Cost: 1134s, Epoch: [3/100], Train_PSNR: 27.50, Val_PSNR: 23.00, Val_SSIM: 0.9175
Date: 2024-11-27 09:47:12s, Time_Cost: 1162s, Epoch: [4/100], Train_PSNR: 28.07, Val_PSNR: 25.75, Val_SSIM: 0.9438
Date: 2024-11-27 10:06:39s, Time_Cost: 1167s, Epoch: [5/100], Train_PSNR: 28.43, Val_PSNR: 25.83, Val_SSIM: 0.9532
Date: 2024-11-27 10:26:42s, Time_Cost: 1202s, Epoch: [6/100], Train_PSNR: 28.76, Val_PSNR: 24.88, Val_SSIM: 0.9348
Date: 2024-11-27 10:49:49s, Time_Cost: 1387s, Epoch: [7/100], Train_PSNR: 29.11, Val_PSNR: 25.84, Val_SSIM: 0.9479
Date: 2024-11-27 11:13:00s, Time_Cost: 1391s, Epoch: [8/100], Train_PSNR: 29.29, Val_PSNR: 25.55, Val_SSIM: 0.9484
Date: 2024-11-27 11:36:25s, Time_Cost: 1405s, Epoch: [9/100], Train_PSNR: 29.59, Val_PSNR: 25.67, Val_SSIM: 0.9559
Date: 2024-11-27 11:59:06s, Time_Cost: 1362s, Epoch: [10/100], Train_PSNR: 29.86, Val_PSNR: 24.79, Val_SSIM: 0.9428
Date: 2024-11-27 12:22:10s, Time_Cost: 1383s, Epoch: [11/100], Train_PSNR: 29.95, Val_PSNR: 21.25, Val_SSIM: 0.8714
Date: 2024-11-27 12:45:43s, Time_Cost: 1413s, Epoch: [12/100], Train_PSNR: 30.20, Val_PSNR: 27.34, Val_SSIM: 0.9613
Date: 2024-11-27 13:09:19s, Time_Cost: 1416s, Epoch: [13/100], Train_PSNR: 30.34, Val_PSNR: 24.72, Val_SSIM: 0.9418
Date: 2024-11-27 13:32:31s, Time_Cost: 1392s, Epoch: [14/100], Train_PSNR: 30.52, Val_PSNR: 25.95, Val_SSIM: 0.9496
Date: 2024-11-27 13:56:13s, Time_Cost: 1422s, Epoch: [15/100], Train_PSNR: 30.59, Val_PSNR: 25.40, Val_SSIM: 0.9511
Date: 2024-11-27 14:19:53s, Time_Cost: 1420s, Epoch: [16/100], Train_PSNR: 30.76, Val_PSNR: 26.90, Val_SSIM: 0.9581
Date: 2024-11-27 14:43:27s, Time_Cost: 1413s, Epoch: [17/100], Train_PSNR: 30.88, Val_PSNR: 27.23, Val_SSIM: 0.9593
Date: 2024-11-27 15:03:57s, Time_Cost: 1230s, Epoch: [18/100], Train_PSNR: 30.98, Val_PSNR: 25.99, Val_SSIM: 0.9541
Date: 2024-11-27 15:22:54s, Time_Cost: 1137s, Epoch: [19/100], Train_PSNR: 31.04, Val_PSNR: 26.80, Val_SSIM: 0.9574
Date: 2024-11-27 15:42:01s, Time_Cost: 1148s, Epoch: [20/100], Train_PSNR: 31.26, Val_PSNR: 27.25, Val_SSIM: 0.9597
Date: 2024-11-27 16:01:11s, Time_Cost: 1149s, Epoch: [21/100], Train_PSNR: 32.94, Val_PSNR: 27.07, Val_SSIM: 0.9628
Date: 2024-11-27 16:20:04s, Time_Cost: 1133s, Epoch: [22/100], Train_PSNR: 33.11, Val_PSNR: 26.71, Val_SSIM: 0.9608
Date: 2024-11-27 16:39:30s, Time_Cost: 1167s, Epoch: [23/100], Train_PSNR: 33.26, Val_PSNR: 26.82, Val_SSIM: 0.9634
Date: 2024-11-27 16:58:53s, Time_Cost: 1162s, Epoch: [24/100], Train_PSNR: 33.40, Val_PSNR: 26.34, Val_SSIM: 0.9566
Date: 2024-11-27 17:17:59s, Time_Cost: 1146s, Epoch: [25/100], Train_PSNR: 33.47, Val_PSNR: 27.05, Val_SSIM: 0.9632
Date: 2024-11-27 17:37:12s, Time_Cost: 1153s, Epoch: [26/100], Train_PSNR: 33.56, Val_PSNR: 26.93, Val_SSIM: 0.9618
